                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.1752,                0.85487,                 1.4894,                0.84994,                   0.72,                0.79135,                 0.4319,                 1.8325,                 1.1307,                 1.8564,               0.004951,               0.004951,               0.004951
                     53,                 1.1537,                0.85134,                 1.4792,                0.82109,                   0.76,                0.82068,                0.39275,                  1.984,                 1.1968,                 2.1699,               0.004852,               0.004852,               0.004852
                     54,                 1.1483,                0.83895,                 1.4825,                0.87437,                   0.72,                0.74643,                0.40176,                 1.8517,                 1.2756,                 2.0212,               0.004753,               0.004753,               0.004753
                     55,                 1.1326,                0.82865,                 1.4573,                0.79913,                   0.72,                0.77076,                0.39936,                 1.9635,                 1.3287,                 1.9817,               0.004654,               0.004654,               0.004654
                     56,                 1.1265,                0.83137,                 1.4473,                0.82463,                   0.76,                0.78311,                0.40431,                 1.7909,                 1.1954,                 1.9351,               0.004555,               0.004555,               0.004555
                     57,                 1.1109,                0.80497,                 1.4402,                0.88064,                   0.68,                0.81765,                0.41723,                 1.8709,                 1.2455,                 2.0641,               0.004456,               0.004456,               0.004456
                     58,                 1.0844,                0.78194,                 1.4176,                      1,                0.63563,                0.76738,                0.44922,                  1.775,                  1.026,                 1.9851,               0.004357,               0.004357,               0.004357
                     59,                 1.0866,                0.79509,                 1.4287,                0.90302,                0.74541,                0.75022,                0.40122,                 1.8451,                 1.3221,                 1.9506,               0.004258,               0.004258,               0.004258
                     60,                 1.0874,                0.79616,                 1.4329,                0.83123,                   0.64,                0.71551,                0.35454,                 1.9276,                 1.5189,                 2.0452,               0.004159,               0.004159,               0.004159
                     61,                 1.0664,                0.79088,                  1.413,                0.92441,                   0.68,                 0.8015,                0.38938,                 2.0157,                 1.2056,                 2.1569,                0.00406,                0.00406,                0.00406
                     62,                 1.0701,                0.78877,                 1.4109,                 0.7951,                   0.68,                0.77769,                0.39701,                 1.9795,                 1.2537,                 2.0596,               0.003961,               0.003961,               0.003961
                     63,                 1.0549,                0.75379,                 1.4054,                      1,                0.63233,                0.78096,                0.36156,                 2.0487,                 1.3887,                 2.1255,               0.003862,               0.003862,               0.003862
                     64,                 1.0344,                0.74336,                 1.3893,                0.96317,                   0.72,                0.79386,                0.37965,                  1.936,                 1.2272,                 2.0191,               0.003763,               0.003763,               0.003763
                     65,                 1.0388,                0.73842,                 1.3865,                0.82003,                   0.76,                0.76878,                0.39651,                 1.9414,                 1.4411,                 2.1266,               0.003664,               0.003664,               0.003664
                     66,                 1.0413,                0.75095,                  1.386,                      1,                 0.7098,                0.82787,                0.42991,                  1.926,                 1.2913,                  2.059,               0.003565,               0.003565,               0.003565
                     67,                 1.0021,                0.71588,                 1.3677,                0.72001,                   0.84,                0.83549,                0.42389,                 1.9135,                 1.1809,                 2.1525,               0.003466,               0.003466,               0.003466
                     68,                 0.9986,                0.70655,                 1.3467,                0.85101,                   0.72,                0.76941,                0.41178,                 1.8409,                 1.4282,                 1.9989,               0.003367,               0.003367,               0.003367
                     69,                 1.0014,                0.70605,                 1.3525,                0.78038,                   0.72,                 0.7894,                0.38664,                 1.8756,                 1.2739,                  1.963,               0.003268,               0.003268,               0.003268
                     70,                0.97439,                0.69053,                 1.3424,                0.85328,                   0.72,                 0.7963,                0.39407,                 1.8258,                 1.3755,                 2.0324,               0.003169,               0.003169,               0.003169
                     71,                0.97127,                0.67916,                 1.3359,                0.93647,                   0.72,                0.81609,                0.43062,                 1.6841,                 1.1248,                 1.8052,                0.00307,                0.00307,                0.00307
                     72,                0.95152,                0.66923,                  1.318,                0.74601,                   0.72,                0.74866,                0.40365,                 1.8911,                 1.3871,                 1.9294,               0.002971,               0.002971,               0.002971
                     73,                0.93972,                0.67248,                 1.3091,                0.91419,                    0.6,                0.78484,                0.43986,                 1.7385,                 1.3481,                 1.8629,               0.002872,               0.002872,               0.002872
                     74,                0.94747,                0.66631,                 1.3121,                0.82989,                   0.68,                 0.7606,                0.39057,                 1.7928,                 1.3653,                 1.8988,               0.002773,               0.002773,               0.002773
                     75,                0.93607,                0.66159,                 1.3082,                 0.9329,                   0.68,                0.78215,                0.44073,                 1.7939,                 1.3224,                  1.907,               0.002674,               0.002674,               0.002674
                     76,                0.92745,                0.65045,                 1.3062,                0.97675,                    0.6,                0.76258,                0.39502,                 1.7637,                 1.4621,                 1.8979,               0.002575,               0.002575,               0.002575
